电影名,链接地址,图片,评分,简介
我的左手,http://www.1905.com/vod/play/85667.shtml,http://image11.m1905.cn/uploadfile/2012/1206/thumb_1_150_203_20121206053255885.jpg,5.9,独臂英雄事迹改编
湘女萧萧,http://www.1905.com/vod/play/85733.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106111149422.jpg,6.4,村中寡妇被人捉奸
情癫大圣,http://www.1905.com/vod/play/331556.shtml,http://image11.m1905.cn/uploadfile/s2010/0211/thumb_1_150_203_20100211015222635.jpg,5.9,谢霆锋版痴情唐僧
毛泽东的故事,http://www.1905.com/vod/play/86149.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112117940.jpg,8.2,深入描写生活细节
大秧歌,http://www.1905.com/vod/play/420356.shtml,http://image11.m1905.cn/uploadfile/2016/0526/thumb_1_150_203_20160526040001497881.jpg,6.0,文武秧歌名分之争
这样一位将军,http://www.1905.com/vod/play/916649.shtml,http://image11.m1905.cn/uploadfile/2015/0729/thumb_1_150_203_20150729114212337515.jpg,5.9,农民将军建设家乡
东方三侠,http://www.1905.com/vod/play/460577.shtml,http://image11.m1905.cn/uploadfile/2013/0705/thumb_1_150_203_20130705010540471.jpg,7.0,三大女神侠义奇幻
猎杀中山狼,http://www.1905.com/vod/play/669494.shtml,http://image11.m1905.cn/uploadfile/2013/0705/thumb_1_150_203_20130705115025431.jpg,5.9,中统机关追杀特务
背水一战,http://www.1905.com/vod/play/1326569.shtml,http://image11.m1905.cn/uploadfile/2018/1112/thumb_1_150_203_20181112021819774174.jpg,6.7,潘金莲变职场丽人
血溅秋风楼,http://www.1905.com/vod/play/739551.shtml,http://image11.m1905.cn/uploadfile/2014/0311/thumb_1_150_203_20140311034941983360.jpg,5.9,擂台比武生死较量
西门家族,http://www.1905.com/vod/play/85612.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112951534.jpg,6.1,英魂附体身不由己
第31届香港电影金像奖颁奖典礼（粤语版）,http://www.1905.com/vod/play/515887.shtml,http://image11.m1905.cn/uploadfile/2012/0417/thumb_1_150_203_20120417091049736.jpg,6.6,粤语原声颁奖现场
远东特遣队之夺桥喋血,http://www.1905.com/vod/play/86424.shtml,http://image11.m1905.cn/uploadfile/2013/0508/thumb_1_150_203_20130508112438865.jpg,5.9,中苏红军联合作战
血战到底,http://www.1905.com/vod/play/85438.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106110143231.jpg,5.4,吴镇宇裸身遭追杀
葫芦小金刚之除妖灭怪,http://www.1905.com/vod/play/773176.shtml,http://image11.m1905.cn/uploadfile/2014/0702/thumb_1_150_203_20140702053057539024.jpg,6.2,除妖灭怪威震四方
野人,http://www.1905.com/vod/play/1140503.shtml,http://image11.m1905.cn/uploadfile/2016/1214/thumb_1_150_203_20161214111800759521.jpg,5.9,密林探险寻觅野人
俊俏媳妇开明婆,http://www.1905.com/vod/play/85797.shtml,http://image11.m1905.cn/uploadfile/2014/0527/thumb_1_150_203_20140527093242529087.jpg,6.4,婆媳相处啼笑皆非
电影名,链接地址,图片,评分,简介
女交通员,http://www.1905.com/vod/play/85680.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521040227465584.jpg,5.9,女交通员拼死杀敌
大路朝天,http://www.1905.com/vod/play/873559.shtml,http://image11.m1905.cn/uploadfile/2013/0304/thumb_1_150_203_20130304103422500.jpg,6.0,天灾之后齐心修护
湄公河行动,http://www.1905.com/vod/play/1181199.shtml,http://image11.m1905.cn/uploadfile/2017/0510/thumb_1_150_203_20170510101856524637.jpg,8.0,湄公河案火爆还原
神枪手,http://www.1905.com/vod/play/85573.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106111632721.jpg,6.6,射击高手深陷困境
落山风,http://www.1905.com/vod/play/85807.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112542442.jpg,6.3,尼姑庵内风花雪月
超时空救兵,http://www.1905.com/vod/play/504534.shtml,http://image11.m1905.cn/uploadfile/2012/0425/thumb_1_150_203_20120425102928596.jpg,5.9,景甜戏中丑绝人寰
茜茜公主（译制版）,http://www.1905.com/vod/play/1391287.shtml,http://image11.m1905.cn/uploadfile/2018/1116/thumb_1_150_203_20181116094502849166.jpg,8.5,公主邂逅国王相恋
封神传奇,http://www.1905.com/vod/play/1191481.shtml,http://image11.m1905.cn/uploadfile/2017/0322/thumb_1_150_203_20170322042816316416.jpg,5.9,群星璀璨神话巨制
隋朝来客,http://www.1905.com/vod/play/335001.shtml,http://image11.m1905.cn/uploadfile/2013/0723/thumb_1_150_203_20130723012443857.jpg,7.3,美女屌丝四角恋情
金钱豹子汤隆,http://www.1905.com/vod/play/784687.shtml,http://image11.m1905.cn/uploadfile/2014/0722/thumb_1_150_203_20140722025045295590.jpg,5.9,为父报仇冒死对决
遵义会议,http://www.1905.com/vod/play/1218710.shtml,http://image11.m1905.cn/uploadfile/2017/0905/thumb_1_150_203_20170905093426616152.jpg,7.0,伟大转折彪炳史册
开天辟地,http://www.1905.com/vod/play/452249.shtml,http://image11.m1905.cn/uploadfile/2016/0725/thumb_1_150_203_20160725115403574503.jpg,5.9,建党历程坎坷光荣
星空日记,http://www.1905.com/vod/play/805575.shtml,http://image11.m1905.cn/uploadfile/2014/0927/thumb_1_150_203_20140927044608960591.jpg,6.2,寒门学子摘星梦想
相声大电影之我要幸福,http://www.1905.com/vod/play/1391331.shtml,http://image11.m1905.cn/uploadfile/2019/0708/thumb_1_150_203_20190708063049970309.jpg,7.0,德云社爆笑喜剧片
红色娘子军,http://www.1905.com/vod/play/456474.shtml,http://image11.m1905.cn/uploadfile/2013/0828/thumb_1_150_203_20130828030959683.jpg,5.9,谢晋执导获奖影片
镖行天下前传之四百里加急,http://www.1905.com/vod/play/392268.shtml,http://image11.m1905.cn/uploadfile/2013/0621/thumb_1_150_203_20130621110233890.jpg,5.9,朝廷特工亡命速递
狼牙山五壮士,http://www.1905.com/vod/play/553097.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521041027139860.jpg,5.9,抗日英烈奋勇抗击
农民工,http://www.1905.com/vod/play/347121.shtml,http://image11.m1905.cn/uploadfile/2012/1212/thumb_1_150_203_20121212050716268.jpg,6.4,塑造中国农民形象
缝纫机乐队,http://www.1905.com/vod/play/1294783.shtml,http://image11.m1905.cn/uploadfile/2017/1207/thumb_1_150_203_20171207041224159511.jpg,7.6,大鹏重燃音乐梦想
英雄郑成功,http://www.1905.com/vod/play/393564.shtml,http://image11.m1905.cn/uploadfile/s2010/1014/thumb_1_150_203_20101014104431215.jpg,8.9,赵文卓变民族英雄
越狱女囚,http://www.1905.com/vod/play/1192450.shtml,http://image11.m1905.cn/uploadfile/2017/0502/thumb_1_150_203_20170502114209582321.jpg,5.9,女囚越狱紧急追击
六扇门之沦陷,http://www.1905.com/vod/play/955097.shtml,http://image11.m1905.cn/uploadfile/2016/0330/thumb_1_150_203_20160330030558678985.jpg,5.9,六扇门惨遭大屠杀
一路向北,http://www.1905.com/vod/play/544003.shtml,http://image11.m1905.cn/uploadfile/2012/0718/thumb_1_150_203_20120718111151361.jpg,7.3,冤家聚头恩怨难料
小花,http://www.1905.com/vod/play/85830.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112600463.jpg,8.7,刘晓庆早期成名作
电影名,链接地址,图片,评分,简介
镖行天下前传之决战天涯,http://www.1905.com/vod/play/406097.shtml,http://image11.m1905.cn/uploadfile/2013/0621/thumb_1_150_203_20130621021841889.jpg,5.9,禁军覆没备战复仇
山楂树,http://www.1905.com/vod/play/402022.shtml,http://image11.m1905.cn/uploadfile/s2010/1125/thumb_1_150_203_20101125034414541.jpg,6.1,
女囚大队,http://www.1905.com/vod/play/789527.shtml,http://image11.m1905.cn/uploadfile/2014/0807/thumb_1_150_203_20140807113114363522.jpg,6.0,众女囚辛酸血泪史
青楼艳妓,http://www.1905.com/vod/play/1391265.shtml,http://image11.m1905.cn/uploadfile/2019/0222/thumb_1_150_203_20190222041551534390.jpg,7.2,玉婆此片获封影后
无间罪,http://www.1905.com/vod/play/708499.shtml,http://image11.m1905.cn/uploadfile/2013/1127/thumb_1_150_203_20131127090422133040.jpg,6.5,僵尸重生引爆惊恐
中国通史-诸葛亮治蜀,http://www.1905.com/vod/play/610442.shtml,http://image11.m1905.cn/uploadfile/2016/1021/thumb_1_150_203_20161021092532238746.jpg,5.9,卧龙孔明治国兴邦
宝贝快跑,http://www.1905.com/vod/play/726842.shtml,http://image11.m1905.cn/uploadfile/2014/0123/thumb_1_150_203_20140123055944830878.jpg,5.9,刘雨欣饰跑酷少女
复仇的子弹,http://www.1905.com/vod/play/625930.shtml,http://image11.m1905.cn/uploadfile/2013/0305/thumb_1_150_203_20130305023206119.jpg,7.0,重温小兵张嘎记忆
鼓上蚤时迁,http://www.1905.com/vod/play/421189.shtml,http://image11.m1905.cn/uploadfile/2013/0624/thumb_1_150_203_20130624024333862.jpg,5.9,何美钿演娇羞师妹
镖行天下前传之终极任务,http://www.1905.com/vod/play/409218.shtml,http://image11.m1905.cn/uploadfile/2013/0621/thumb_1_150_203_20130621022847101.jpg,5.9,秘密任务危机四伏
三个和尚,http://www.1905.com/vod/play/749235.shtml,http://image11.m1905.cn/uploadfile/2014/0415/thumb_1_150_203_20140415050530349947.jpg,7.6,金鸡奖最佳美术片
战地之星,http://www.1905.com/vod/play/86175.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106113423620.jpg,6.3,美女大学生有妙计
惊蛰,http://www.1905.com/vod/play/85729.shtml,http://image11.m1905.cn/uploadfile/2016/0330/thumb_1_150_203_20160330072159972333.jpg,6.3,村姑逃婚饱受凌辱
追鱼,http://www.1905.com/vod/play/872506.shtml,http://image11.m1905.cn/uploadfile/2015/0324/thumb_1_150_203_20150324061301331086.jpg,5.9,鱼肚藏钱引来风波
我是谁2015,http://www.1905.com/vod/play/930988.shtml,http://image11.m1905.cn/uploadfile/2015/0915/thumb_1_150_203_20150915010855805991.jpg,5.9,成龙监制经典再现
死亡之吻,http://www.1905.com/vod/play/655107.shtml,http://image11.m1905.cn/uploadfile/2013/0509/thumb_1_150_203_20130509100206983.jpg,6.1,正义之士以身试毒
瞧这一家子,http://www.1905.com/vod/play/85792.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112530726.jpg,8.5,父子兵开创新风格
既然青春留不住,http://www.1905.com/vod/play/971695.shtml,http://image11.m1905.cn/uploadfile/2016/0124/thumb_1_150_203_20160124022044400158.jpg,5.9,陈乔恩火辣比基尼
丑娘,http://www.1905.com/vod/play/86442.shtml,http://image11.m1905.cn/uploadfile/2016/0408/thumb_1_150_203_20160408110656219298.jpg,6.2,儿子嫌弃母亲丑陋
爱情的牙齿,http://www.1905.com/vod/play/85482.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106111519472.jpg,7.9,北京女混混的爱情
炮兵司令朱瑞,http://www.1905.com/vod/play/754067.shtml,http://image11.m1905.cn/uploadfile/2014/0510/thumb_1_150_203_20140510103553931653.jpg,5.9,炮兵司令触雷牺牲
宝莲灯,http://www.1905.com/vod/play/749246.shtml,http://image11.m1905.cn/uploadfile/2014/0415/thumb_1_150_203_20140415044434719238.jpg,8.2,沉香救母大战杨戬
M,http://www.1905.com/vod/play/687991.shtml,http://image11.m1905.cn/uploadfile/2013/0904/thumb_1_150_203_20130904060257604.jpg,5.8,可爱盲童幻想光明
葫芦小金刚之花谷脱险,http://www.1905.com/vod/play/773175.shtml,http://image11.m1905.cn/uploadfile/2014/0702/thumb_1_150_203_20140702051320918639.jpg,6.0,小蝴蝶色诱小金刚
电影名,链接地址,图片,评分,简介
霹雳贝贝,http://www.1905.com/vod/play/86032.shtml,http://image11.m1905.cn/uploadfile/2013/1127/thumb_1_150_203_20131127113152635612.jpg,5.9,首部国产儿童科幻
无枪枪手,http://www.1905.com/vod/play/311166.shtml,http://image11.m1905.cn/uploadfile/s2010/0121/thumb_1_150_203_20100121105930155.jpg,6.5,胡玫商业片处女作
菊次郎的夏天,http://www.1905.com/vod/play/1391254.shtml,http://image11.m1905.cn/uploadfile/2019/0708/thumb_1_150_203_20190708034727435180.jpg,8.6,北野武式幽默喜剧
拳霸风云,http://www.1905.com/vod/play/987037.shtml,http://image11.m1905.cn/uploadfile/2016/0303/thumb_1_150_203_20160303110712756305.jpg,4.6,黑市拳手坠入情网
云上学堂,http://www.1905.com/vod/play/362648.shtml,http://image11.m1905.cn/uploadfile/s2010/0821/thumb_1_150_203_20100821111244376.jpg,7.5,爬天梯小山村支教
秦·火,http://www.1905.com/vod/play/1380858.shtml,http://image11.m1905.cn/uploadfile/2019/0603/thumb_1_150_203_20190603040940135392.jpg,6.7,展现陕西社火文化
大劫难,http://www.1905.com/vod/play/830906.shtml,http://image11.m1905.cn/uploadfile/2014/1209/thumb_1_150_203_20141209045318602880.jpg,5.9,不屈村民抵抗日寇
程婴救孤,http://www.1905.com/vod/play/874089.shtml,http://image11.m1905.cn/uploadfile/2012/1019/thumb_1_150_203_20121019092102339.jpg,6.1,经典戏曲银幕大作
古墓荒斋,http://www.1905.com/vod/play/490855.shtml,http://image11.m1905.cn/uploadfile/2016/0728/thumb_1_150_203_20160728013010887482.jpg,5.9,谢铁骊导演逝世
《夏洛特烦恼》首映礼,http://www.1905.com/vod/play/946673.shtml,http://image11.m1905.cn/uploadfile/2015/1117/thumb_1_150_203_20151117012308603126.jpg,6.6,《夏洛特烦恼》首映礼
蛊咒传奇,http://www.1905.com/vod/play/303831.shtml,http://image11.m1905.cn/uploadfile/2015/0408/thumb_1_150_203_20150408092917489679.jpg,6.2,邓萃雯化九天玄女
天堂凹,http://www.1905.com/vod/play/85975.shtml,http://image11.m1905.cn/uploadfile/2013/0109/thumb_1_150_203_20130109031028895.jpg,6.7,姚晨早期青涩作品
庐山恋2010,http://www.1905.com/vod/play/403651.shtml,http://image11.m1905.cn/uploadfile/2017/0921/thumb_1_150_203_20170921033004641513.jpg,5.9,激情一吻轮回穿越
生财有道,http://www.1905.com/vod/play/874817.shtml,http://image11.m1905.cn/uploadfile/2014/0729/thumb_1_150_203_20140729113244331402.jpg,6.1,冤家路窄互不相让
《蓝色生死恋》发布会,http://www.1905.com/vod/play/1351825.shtml,http://image11.m1905.cn/uploadfile/2019/0222/thumb_1_150_203_20190222025946139310.jpg,6.7,韩剧翻拍俊男靓女
赤壁（上）,http://www.1905.com/vod/play/688033.shtml,http://image11.m1905.cn/uploadfile/2013/0905/thumb_1_150_203_20130905090045248.jpg,6.4,巨星云集获奖大片
东陵大盗第3集,http://www.1905.com/vod/play/442778.shtml,http://image11.m1905.cn/uploadfile/2011/0524/thumb_1_150_203_20110524090327384.jpg,6.1,东陵珍宝不翼而飞
魔幻仙踪,http://www.1905.com/vod/play/830886.shtml,http://image11.m1905.cn/uploadfile/2014/1208/thumb_1_150_203_20141208113930953961.jpg,5.9,渔村女孩出海寻母
鬼妹,http://www.1905.com/vod/play/490853.shtml,http://image11.m1905.cn/uploadfile/2014/1031/thumb_1_150_203_20141031021920844330.jpg,,书生夜遇美丽女鬼
弹无虚发之葬马,http://www.1905.com/vod/play/647457.shtml,http://image11.m1905.cn/uploadfile/2013/0701/thumb_1_150_203_20130701033647684.jpg,6.4,边疆上演国宝争夺
女子戒毒所,http://www.1905.com/vod/play/1005763.shtml,http://image11.m1905.cn/uploadfile/2016/0412/thumb_1_150_203_20160412040515653671.jpg,5.9,吸毒女子涉嫌贩毒
红岩 第一部,http://www.1905.com/vod/play/399153.shtml,http://image11.m1905.cn/uploadfile/s2010/1028/thumb_1_150_203_20101028030105963.jpg,7.2,还原经典红色传奇
剃头匠,http://www.1905.com/vod/play/85483.shtml,http://image11.m1905.cn/uploadfile/2013/0922/thumb_1_150_203_20130922020905226.jpg,9.3,耄耋老人剃头生涯
Hold住爱,http://www.1905.com/vod/play/617012.shtml,http://image11.m1905.cn/uploadfile/2018/0306/thumb_1_150_203_20180306023529346747.jpg,5.9,杨幂凯威银幕首秀
电影名,链接地址,图片,评分,简介
冷枪,http://www.1905.com/vod/play/802249.shtml,http://image11.m1905.cn/uploadfile/2014/0925/thumb_1_150_203_20140925030454249881.jpg,6.1,大山孕育草根英雄
风流乾隆,http://www.1905.com/vod/play/497852.shtml,http://image11.m1905.cn/uploadfile/2014/0731/thumb_1_150_203_20140731015134949769.jpg,6.6,风流乾隆微服出京
古田会议,http://www.1905.com/vod/play/1193368.shtml,http://image11.m1905.cn/uploadfile/2017/0405/thumb_1_150_203_20170405011036990288.jpg,5.9,红色印记真实历史
血搏敌枭,http://www.1905.com/vod/play/85631.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106113008501.jpg,5.9,日寇制造生化危机
羞羞的铁拳,http://www.1905.com/vod/play/1290610.shtml,http://image11.m1905.cn/uploadfile/2017/1222/thumb_1_150_203_20171222041845414220.jpg,7.7,开心麻花拳拳爆笑
我爱北京天安门,http://www.1905.com/vod/play/434458.shtml,http://image11.m1905.cn/uploadfile/2016/0628/thumb_1_150_203_20160628105252330878.jpg,6.5,懵懂男孩痴迷摄影
雷雨,http://www.1905.com/vod/play/356583.shtml,http://image11.m1905.cn/uploadfile/2014/0314/thumb_1_150_203_20140314054700590522.jpg,6.6,家族恩怨薄命鸳鸯
喋血黑谷,http://www.1905.com/vod/play/85834.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106111315420.jpg,5.9,犬牙交错争夺密令
熊迹,http://www.1905.com/vod/play/875167.shtml,http://image11.m1905.cn/uploadfile/2012/1112/thumb_1_150_203_20121112041042240.jpg,5.9,国产经典悬疑电影 
猎,http://www.1905.com/vod/play/448227.shtml,http://image11.m1905.cn/uploadfile/2016/0613/thumb_1_150_203_20160613095636285514.jpg,5.9,于娜打入敌人内部
王宗槐战地情缘,http://www.1905.com/vod/play/813411.shtml,http://image11.m1905.cn/uploadfile/2014/1023/thumb_1_150_203_20141023025843574955.jpg,6.0,战地伉俪浪漫爱情
自古英雄出少年之岳飞,http://www.1905.com/vod/play/590582.shtml,http://image11.m1905.cn/uploadfile/2012/0113/thumb_1_150_203_20120113124500305.jpg,5.9,少年岳飞成长历程
护士日记,http://www.1905.com/vod/play/546704.shtml,http://image11.m1905.cn/uploadfile/2012/0717/thumb_1_150_203_20120717110836545.jpg,6.0,热情护士甘心奉献
离婚合同,http://www.1905.com/vod/play/86079.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106113318562.jpg,7.1,冯巩与女歌手暧昧
回归,http://www.1905.com/vod/play/1351774.shtml,http://image11.m1905.cn/uploadfile/2019/0222/thumb_1_150_203_20190222023118618841.jpg,6.7,瞒病情因望子成龙
死亡集中营（死亡地带）,http://www.1905.com/vod/play/442480.shtml,http://image11.m1905.cn/uploadfile/2016/0801/thumb_1_150_203_20160801041240765507.jpg,5.9,凶残日军惨无人道
寻找智美更登,http://www.1905.com/vod/play/300410.shtml,http://image11.m1905.cn/uploadfile/2016/0401/thumb_1_150_203_20160401102437131319.jpg,5.9,寻不加修饰的西藏
一石二鸟,http://www.1905.com/vod/play/487907.shtml,http://image11.m1905.cn/uploadfile/2013/0107/thumb_1_150_203_20130107032507385.jpg,5.9,吴宗宪雪村擦火花
畹町桥,http://www.1905.com/vod/play/790497.shtml,http://image11.m1905.cn/uploadfile/2014/0811/thumb_1_150_203_20140811041225733707.jpg,5.9,战场情谊百年永恒
B+侦探,http://www.1905.com/vod/play/680585.shtml,http://image11.m1905.cn/uploadfile/2013/0809/thumb_1_150_203_20130809114148371.jpg,8.1,郭富城破获凶杀案
我最好朋友的婚礼,http://www.1905.com/vod/play/1118455.shtml,http://image11.m1905.cn/uploadfile/2016/1027/thumb_1_150_203_20161027100005919735.jpg,7.4,舒淇宋茜追爱男神
女子别动队,http://www.1905.com/vod/play/85829.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106111310766.jpg,7.4,铿锵玫瑰再现光辉
我的唐朝兄弟,http://www.1905.com/vod/play/306257.shtml,http://image11.m1905.cn/uploadfile/2009/1214/thumb_1_150_203_20091214110925532.jpg,5.9,荒郊野岭激情大战
奸细,http://www.1905.com/vod/play/1259151.shtml,http://image11.m1905.cn/uploadfile/2018/0302/thumb_1_150_203_20180302104711681461.jpg,5.9,大特务潜入响水河
电影名,链接地址,图片,评分,简介
我们的田野,http://www.1905.com/vod/play/1007972.shtml,http://image11.m1905.cn/uploadfile/2016/0419/thumb_1_150_203_20160419094445237087.jpg,5.9,青年支援边疆建设
2012来了,http://www.1905.com/vod/play/494969.shtml,http://image11.m1905.cn/uploadfile/2011/1128/thumb_1_150_203_20111128045705836.jpg,7.6,末日来了心愿未成
太平轮·彼岸,http://www.1905.com/vod/play/963671.shtml,http://image11.m1905.cn/uploadfile/2015/1228/thumb_1_150_203_20151228034324717323.jpg,5.9,章子怡乱世寻真情
洛杉矶捣蛋计划,http://www.1905.com/vod/play/1027765.shtml,http://image11.m1905.cn/uploadfile/2016/0603/thumb_1_150_203_20160603093533892155.jpg,7.6,夏雨变身国际奶爸
不敢说爱你,http://www.1905.com/vod/play/86012.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106113223996.jpg,5.9,林申演绎温馨爱情
特殊身份的警官,http://www.1905.com/vod/play/86161.shtml,http://image11.m1905.cn/uploadfile/2014/0721/thumb_1_150_203_20140721014637332066.jpg,6.4,共党干部叛变投敌
夏天19岁的肖像,http://www.1905.com/vod/play/1233931.shtml,http://image11.m1905.cn/uploadfile/2017/1123/thumb_1_150_203_20171123085035255706.jpg,7.0,黄子韬19岁的夏天
战上海,http://www.1905.com/vod/play/584440.shtml,http://image11.m1905.cn/uploadfile/2013/0719/thumb_1_150_203_20130719060711505.jpg,6.4,保城擒敌解放上海
漂洋过海来看你,http://www.1905.com/vod/play/1207531.shtml,http://image11.m1905.cn/uploadfile/2017/0809/thumb_1_150_203_20170809094707432211.jpg,5.9,追梦少年心系伙伴 跨越千里离别在即
粉红色的梦,http://www.1905.com/vod/play/875334.shtml,http://image11.m1905.cn/uploadfile/2015/0331/thumb_1_150_203_20150331022915546355.jpg,5.9,风流作家性喜浪漫
白蛇传,http://www.1905.com/vod/play/874835.shtml,http://image11.m1905.cn/uploadfile/2015/0331/thumb_1_150_203_20150331084224862660.jpg,5.9,陈燕燕演绎白娘子
弹道无痕,http://www.1905.com/vod/play/759127.shtml,http://image11.m1905.cn/uploadfile/2014/0526/thumb_1_150_203_20140526011853497348.jpg,8.2,电影版许三多再现
镖行天下前传之库丁之谜,http://www.1905.com/vod/play/393516.shtml,http://image11.m1905.cn/uploadfile/2013/0621/thumb_1_150_203_20130621111139989.jpg,5.9,镖局营救惊心动魄
赚它一千万,http://www.1905.com/vod/play/346850.shtml,http://image11.m1905.cn/uploadfile/2019/0816/thumb_1_150_203_20190816021447308015.jpg,7.1,陈强陈佩斯致富经
斗鸡,http://www.1905.com/vod/play/1062008.shtml,http://image11.m1905.cn/uploadfile/2016/0816/thumb_1_150_203_20160816111849362487.jpg,5.9,梁天斗鸡押上老婆
山啸,http://www.1905.com/vod/play/432658.shtml,http://image11.m1905.cn/uploadfile/2016/0801/thumb_1_150_203_20160801035420358864.jpg,5.9,名族豪杰抗击外辱
黄连·厚朴,http://www.1905.com/vod/play/874986.shtml,http://image11.m1905.cn/uploadfile/2011/1026/thumb_1_150_203_20111026030113957.jpg,5.9,两对情侣的纠缠史
绝命岛,http://www.1905.com/vod/play/402290.shtml,http://image11.m1905.cn/uploadfile/2014/0715/thumb_1_150_203_20140715100525534289.jpg,6.4,霍思燕化身夜店妹
将爱情进行到底,http://www.1905.com/vod/play/434646.shtml,http://image11.m1905.cn/uploadfile/2011/0415/thumb_1_150_203_20110415083925824.jpg,5.9,徐静蕾再恋李亚鹏
诡娃娃,http://www.1905.com/vod/play/985037.shtml,http://image11.m1905.cn/uploadfile/2016/0229/thumb_1_150_203_20160229121123684914.jpg,4.6,成龙女弟子惊悚秀
野蛮秘笈,http://www.1905.com/vod/play/958563.shtml,http://image11.m1905.cn/uploadfile/2015/1214/thumb_1_150_203_20151214045501984271.jpg,5.9,玉女掌门人张柏芝
床下有人,http://www.1905.com/vod/play/479438.shtml,http://image11.m1905.cn/uploadfile/2013/0526/thumb_1_150_203_20130526024650221.jpg,5.9,美女床下阴森诡秘
诅咒,http://www.1905.com/vod/play/1059099.shtml,http://image11.m1905.cn/uploadfile/2016/0810/thumb_1_150_203_20160810095250953914.jpg,5.9,离奇死亡凶手难辨
抗日英雄贾力更,http://www.1905.com/vod/play/1232293.shtml,http://image11.m1905.cn/uploadfile/2017/1116/thumb_1_150_203_20171116010028453545.jpg,5.9,蒙古英雄传奇一生
电影名,链接地址,图片,评分,简介
我的新野蛮女友,http://www.1905.com/vod/play/1053824.shtml,http://image11.m1905.cn/uploadfile/2016/0729/thumb_1_150_203_20160729031649358584.jpg,4.5,美宋茜玩坏车太贤
北京电影学院王俊凯艺考现场	,http://www.1905.com/vod/play/1188174.shtml,http://image11.m1905.cn/uploadfile/2017/0601/thumb_1_150_203_20170601093331137560.jpg,5.9,王俊凯艺考引关注
怒吼狂花,http://www.1905.com/vod/play/362026.shtml,http://image11.m1905.cn/uploadfile/2013/1230/thumb_1_150_203_20131230052024815862.jpg,6.4,挪用公款杀人灭口
爱,http://www.1905.com/vod/play/705603.shtml,http://image11.m1905.cn/uploadfile/2013/1115/thumb_1_150_203_20131115040218688264.jpg,6.0,苦命情侣无力之爱
珍珠衫,http://www.1905.com/vod/play/359312.shtml,http://image11.m1905.cn/uploadfile/2013/0619/thumb_1_150_203_20130619035124130.jpg,6.5,寂寞娇妻红杏出墙
秋收起义,http://www.1905.com/vod/play/85542.shtml,http://image11.m1905.cn/uploadfile/2013/1010/thumb_1_150_203_20131010011342832.jpg,5.9,宏大场面还原历史
功夫老爸,http://www.1905.com/vod/play/657539.shtml,http://image11.m1905.cn/uploadfile/2012/1121/thumb_1_150_203_20121121115656730.jpg,6.7,续写《少林足球》
垃圾箱里的巨款,http://www.1905.com/vod/play/741270.shtml,http://image11.m1905.cn/uploadfile/2014/0317/thumb_1_150_203_20140317015900972858.jpg,5.9,假母女联手抓盗贼
镖行天下前传之虎口夺镖,http://www.1905.com/vod/play/395891.shtml,http://image11.m1905.cn/uploadfile/2013/0621/thumb_1_150_203_20130621115218741.jpg,5.9,妙龄少女半路遭劫
英雄泪,http://www.1905.com/vod/play/747047.shtml,http://image11.m1905.cn/uploadfile/2016/0719/thumb_1_150_203_20160719034551187694.jpg,6.0,地下党潜伏探军库
爱情天梯,http://www.1905.com/vod/play/522884.shtml,http://image11.m1905.cn/uploadfile/2013/0108/thumb_1_150_203_20130108094117679.jpg,5.9,真实爱情故事改编
红嫂,http://www.1905.com/vod/play/85552.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112903597.jpg,5.9,村妇乳汁急救伤员
秘密,http://www.1905.com/vod/play/85493.shtml,http://image11.m1905.cn/uploadfile/2013/0802/thumb_1_150_203_20130802110335714.jpg,6.3,歌手孙浩牵手陶虹
血色西峪,http://www.1905.com/vod/play/961638.shtml,http://image11.m1905.cn/uploadfile/2015/1222/thumb_1_150_203_20151222010528785404.jpg,5.9,集体反抗日军扫荡
世界历史-万隆会议,http://www.1905.com/vod/play/513447.shtml,http://image11.m1905.cn/uploadfile/2012/0418/thumb_1_150_203_20120418045002618.jpg,,
